subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
ML-8,"19.8021,0.7253","[17.7267, 21.8853, -2.056, 4.2671]",,1983.45,"ML-10,ML-7,ML-9"
ML-9,"16.6517,2.8263","[15.2781, 18.063, 1.3115, 4.2674]",,1168.61,"ML-7,ML-8"
ML-BKO,"12.6493,-8.0003","[12.5113, 12.7137, -8.0738, -7.9006]",,83.05,"ML-2,ML-3"
MM-01,"24.4741,95.475","[21.576, 27.3725, 93.9432, 97.0671]",,2541.04,"MM-03,MM-04,MM-11,MM-14,MM-17"
MM-02,"18.2457,96.1005","[16.8288, 19.4933, 94.6856, 97.2244]",,1491.1,"MM-03,MM-06,MM-07,MM-12,MM-13,MM-15,MM-16,MM-17,MM-18"
MM-03,"20.2748,94.7362","[18.832, 22.7721, 93.8455, 95.8592]",,1572.2,"MM-01,MM-02,MM-04,MM-14,MM-16,MM-18"
MM-04,"20.9872,95.7657","[20.1931, 23.6838, 94.8297, 96.896]",,1631.03,"MM-01,MM-03,MM-11,MM-16,MM-17,MM-18"
MM-05,"12.1092,98.8165","[9.5261, 15.1037, 97.2292, 99.6649]",,1732.4,MM-15
MM-06,"16.6476,96.1129","[13.7719, 17.797, 93.0125, 96.8277]",,1072.22,"MM-02,MM-07,MM-13,MM-16"
MM-07,"16.834,95.1805","[15.6695, 18.5108, 94.1911, 96.0808]",,3270.68,"MM-02,MM-06,MM-16"
MM-11,"26.0208,97.4919","[23.6332, 28.5478, 95.8062, 98.7819]",,2338.35,"MM-01,MM-04,MM-17"
MM-12,"19.2813,97.3292","[18.4911, 19.9967, 96.8198, 97.8882]",,653.53,"MM-02,MM-13,MM-17"
MM-13,"17.1863,97.7499","[15.2201, 19.5091, 96.3916, 98.9318]",,1981.4,"MM-02,MM-06,MM-12,MM-15,MM-17,MM-18"
MM-14,"22.0182,93.5038","[20.6399, 24.1054, 92.601, 94.153]",,1494.85,"MM-01,MM-03,MM-16"
